slug_id,market_name
2277,Atlanta fruits
2278,Atlanta vegetables
2279,Atlanta onions and potatoes
2280,Atlanta nuts
2281,Baltimore fruits
2282,Baltimore vegetables
2283,Baltimore onions and potatoes
2284,Baltimore nuts
2285,Boston fruits
2286,Boston vegetables
2287,Boston onions and potatoes
2288,Boston nuts
2289,Boston Terminal Market Ornamentals Prices (BH_FV201)
2290,Chicago fruits
2291,Chicago vegetables
2292,Chicago onions and potatoes
2293,Chicago nuts
2294,Columbia fruits
2295,Columbia vegetables
2296,Columbia onions and potatoes
2297,Columbia nuts
2298,Dallas fruits
2299,Dallas vegetables
2300,Dallas onions and potatoes
2301,Dallas nuts
2302,Detroit fruits
2303,Detroit vegetables
2304,Detroit onions and potatoes
2305,Detroit nuts
2306,Los Angeles fruits
2307,Los Angeles vegetables
2308,Los Angeles onions and potatoes
2309,Los Angeles nuts
2310,Miami fruits
2311,Miami vegetables
2312,Miami onions and potatoes
2313,Miami nuts
2314,New York fruits
2315,New York vegetables
2316,New York onions and potatoes
2317,New York nuts
2318,Philadelphia fruits
2319,Philadelphia vegetables
2320,Philadelphia onions and potatoes
2321,Philadelphia nuts
2322,San Francisco fruits
2323,San Francisco vegetables
2324,San Francisco onions and potatoes
2325,San Francisco nuts
2326,Saint Louis fruits
2327,Saint Louis vegetables
2328,Saint Louis onions and potatoes
2329,Saint Louis nuts
2330,"Birmingham, United Kingdom fruits"
2331,"Birmingham, United Kingdom vegetables"
2332,"Birmingham, United Kingdom onions and potatoes"
2333,"Guadalajara, Mexico fruits"
2334,"Guadalajara, Mexico vegetables"
2335,"Guadalajara, Mexico onions and potatoes"
2336,"Mexico City, Mexico fruits"
2337,"Mexico City, Mexico vegetables"
2338,"Mexico City, Mexico onions and potatoes"
2339,"Monterrey, Mexico fruits"
2340,"Monterrey, Mexico vegetables"
2341,"Monterrey, Mexico onions and potatoes"
2342,"Montreal, Canada fruits"
2343,"Montreal, Canada vegetables"
2344,"Montreal, Canada onions and potatoes"
2345,"New Covent Garden, United Kingdom fruits"
2346,"New Covent Garden, United Kingdom vegetables"
2347,"New Covent Garden, United Kingdom onions and potatoes"
2348,"New Spitalfields, United Kingdom fruits"
2349,"New Spitalfields, United Kingdom vegetables"
2350,"New Spitalfields, United Kingdom onions and potatoes"
2351,"Paris (Rungis), France fruits"
2352,"Paris (Rungis), France vegetables"
2353,"Paris (Rungis), France onions and potatoes"
2354,"Plovdiv, Bulgaria fruits"
2355,"Plovdiv, Bulgaria vegetables"
2356,"Plovdiv, Bulgaria onions and potatoes"
2357,"Poznan, Poland fruits"
2358,"Poznan, Poland vegetables"
2359,"Poznan, Poland onions and potatoes"
2360,"Rotterdam, The Netherlands fruits"
2361,"Rotterdam, The Netherlands vegetables"
2362,"Rotterdam, The Netherlands onions and potatoes"
2363,"Sofia, Bulgaria fruits"
2364,"Sofia, Bulgaria vegetables"
2365,"Sofia, Bulgaria onions and potatoes"
2366,"Toronto, Canada fruits"
2367,"Toronto, Canada vegetables"
2368,"Toronto, Canada onions and potatoes"
2369,"Varna, Bulgaria fruits"
2370,"Varna, Bulgaria vegetables"
2371,"Varna, Bulgaria onions and potatoes"
2372,"Warsaw, Poland fruits"
2373,"Warsaw, Poland vegetables"
2374,"Warsaw, Poland onions and potatoes"
2723,Atlanta vegetables
2724,Atlanta herbs
2725,Atlanta tropical f&v
2763,Baltimore vegetables
2764,Baltimore herbs
2765,Baltimore tropical f&v
2776,Boston vegetables
2777,Boston herbs
2778,Boston tropical f&v
2782,Chicago vegetables
2783,Chicago herbs
2784,Chicago tropical f&v
2794,Columbia vegetables
2795,Columbia herbs
2796,Columbia tropical f&v
2801,Dallas vegetables
2802,Dallas herbs
2803,Dallas tropical f&v
2882,Detroit vegetables
2883,Detroit herbs
2884,Detroit tropical f&v
2963,Los Angeles vegetables
2964,Los Angeles herbs
2965,Los Angeles tropical f&v
3036,Miami vegetables
3037,Miami herbs
3038,Miami tropical f&v
3092,New York vegetables
3093,New York herbs
3094,New York tropical f&v
3116,Philadelphia vegetables
3117,Philadelphia herbs
3118,Philadelphia tropical f&v
3177,San Francisco vegetables
3178,San Francisco herbs
3179,San Francisco tropical f&v
3703,"Hamburg, Germany fruits"
3704,"Hamburg, Germany vegetables"
3705,"Hamburg, Germany onions and potatoes"
3706,"Hamburg, Germany Terminal Nut Prices (HA_FV201)"
3716,"Tokyo, Japan fruits"
3717,"Tokyo, Japan vegetables"
3718,"Tokyo, Japan onions and potatoes"
3719,"Tokyo, Japan Ornamental Terminal Prices (TK_FV201)"
